room_id,availability
MCB230,"Sep 11 2025 5pm-9pm; Sep 12 2025 6pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 6pm-9pm"
MCB231,"Sep 11 2025 5pm-9pm; Sep 12 2025 6pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 6pm-9pm"
MCB232,"Sep 11 2025 5pm-9pm; Sep 12 2025 6pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 6pm-9pm"
MCB233,"Sep 11 2025 5pm-9pm; Sep 12 2025 6pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 6pm-9pm"
MCB304,"Sep 11 2025 5pm-9pm; Sep 12 2025 6pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 6pm-9pm"
MCB316,"Sep 11 2025 5pm-9pm; Sep 12 2025 6pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 6pm-9pm"
MCB321,"Sep 11 2025 5pm-9pm; Sep 12 2025 6pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 6pm-9pm"
MCB328,"Sep 11 2025 5pm-9pm; Sep 12 2025 6pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 6pm-9pm"
MCB332,"Sep 11 2025 5pm-9pm; Sep 12 2025 6pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 6pm-9pm"
MCB134,"Sep 11 2025 6pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 6pm-9pm"
MCB136,"Sep 13 2025 9am-9pm"
MCB207,"Sep 11 2025 5pm-9pm; Sep 12 2025 6pm-9pm; Sep 15 2025 6pm-9pm"
MCB209,"Sep 15 2025 6pm-9pm"
MCB210,"Sep 15 2025 6pm-9pm"
MCB212,"Sep 15 2025 6pm-9pm"
MCB216,"Sep 15 2025 6pm-9pm"
MCB218,"Sep 12 2025 6pm-9pm"
MCB219,"Sep 11 2025 5pm-9pm; Sep 12 2025 6pm-9pm"
MCB223,"Sep 15 2025 6pm-9pm"
MCB224,"Sep 12 2025 6pm-9pm"
MCB226,"Sep 15 2025 6pm-9pm"
MCB232,"Sep 11 2025 5pm-9pm; Sep 12 2025 6pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 6pm-9pm"
MCB238,"Sep 15 2025 6pm-9pm"
MCB307,"Sep 15 2025 6pm-9pm"
MCB308,"Sep 15 2025 6pm-9pm"
MCB318,"Sep 15 2025 6pm-9pm"
MCB322,"Sep 15 2025 6pm-9pm"
MCB328,"Sep 11 2025 5pm-9pm; Sep 12 2025 6pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5:30pm-9pm"
