room_id,availability
G101,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
G102,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
S201,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
S202,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
S203,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
S204,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R301,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R302,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R303,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R304,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R305,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R306,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R307,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R308,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R309,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R310,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R311,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R312,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R313,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R314,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R315,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R316,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R317,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R318,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R319,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R320,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R321,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R322,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R323,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
R324,"Sep 11 2025 5pm-9pm; Sep 12 2025 5pm-9pm; Sep 13 2025 9am-9pm; Sep 14 2025 9am-9pm; Sep 15 2025 5pm-9pm"
